x0,x1,y,x2,x3
A10,A27,0.16,0.11,0.0
A1,A102,0.01,0.01,0.0
A1,A58,0.52,0.43,0.18
A2,A64,0.23,0.06,0.0
A9,A7,1.06,0.6,0.2
A5,A25,0.08,0.08,0.0
A4,A25,0.16,0.1,0.0
A3,A22,0.0,0.0,0.32
A2,A108,0.17,0.12,0.0
A4,A14,0.0,0.0,0.03
A3,A3,0.0,0.07,0.0
A4,A33,0.19,0.15,0.0
A0,A25,0.52,0.13,0.0
A9,A33,0.15,0.04,0.0
A11,A109,0.01,0.0,0.0
A9,A20,0.01,0.0,0.0
A6,A24,0.25,0.02,0.0
A4,A26,0.5,0.11,0.0
A11,A60,0.2,0.05,0.0
,A15,0.03,0.02,0.0
A4,A110,0.19,0.01,0.0
A2,A16,1.19,0.17,0.0
A6,A33,0.31,0.12,0.0
A10,A51,0.64,0.39,0.0
A5,A61,0.0,0.0,0.01
A0,A3,0.03,0.01,0.0
A5,A20,0.02,0.02,0.25
A2,A80,0.01,0.01,0.0
A6,A111,0.0,0.0,0.03
A4,A112,0.0,0.0,0.09
A5,A15,0.0,0.0,0.29
A8,A56,0.0,0.0,0.03
A2,A38,0.08,0.02,0.0
A5,A113,0.25,0.33,0.0
A5,A15,0.0,0.0,0.1
A11,A24,0.07,0.02,0.0
A9,A33,0.06,0.0,0.0
A4,A114,0.0,0.0,0.01
A5,A6,0.49,0.07,0.39
A6,A15,0.07,0.05,0.0
A10,A24,0.08,0.07,0.0
A6,A96,0.0,0.02,0.0
A2,A24,0.23,0.04,0.02
A4,A37,0.05,0.0,0.0
A6,A16,0.0,0.03,0.0
A6,A34,0.14,0.19,0.0
A5,A3,0.11,0.05,0.0
A0,A36,0.19,0.19,0.0
A4,A53,0.03,0.0,0.0
A11,A33,0.01,0.04,0.0
A7,A7,0.77,0.18,1.42
A4,A3,0.41,0.0,0.0
A5,,0.11,0.03,0.0
A2,A27,0.38,0.52,0.01
A4,A89,0.05,0.0,0.0
A5,,0.03,0.0,0.0
A6,A0,0.02,0.0,0.0
A4,A16,0.0,0.04,0.0
A8,A27,0.01,0.01,0.0
A1,A58,0.78,0.75,0.89
A3,A3,0.28,0.21,0.0
A9,A59,0.4,0.15,0.0
A1,A7,2.26,0.48,0.81
A6,A14,0.0,0.0,0.01
A6,A58,0.47,0.64,0.06
A11,A16,0.21,0.16,0.02
A10,A7,0.18,0.23,1.53
A8,A93,0.05,0.0,0.0
A9,A7,0.0,0.0,0.22
A3,A28,0.08,0.0,0.0
A6,A25,2.71,1.51,0.03
A0,A57,0.11,0.1,0.02
A6,A14,0.03,0.01,0.0
A10,A25,0.09,0.0,0.0
A6,A27,0.07,0.09,0.0
A10,A10,0.07,0.05,0.0
A6,A60,1.01,0.9,0.0
A6,A33,0.15,0.07,0.0
A0,A36,0.19,0.15,0.0
A2,A24,0.12,0.1,0.03
A9,A20,0.04,0.0,0.0
A1,A14,0.63,0.49,0.45
A6,A90,0.06,0.04,0.0
A1,A55,0.0,0.0,0.08
A6,A16,0.0,0.08,0.0
A3,A115,0.0,0.02,0.0
A11,A60,0.15,0.14,0.0
A7,A14,0.42,0.2,0.11
A6,A15,0.09,0.06,0.0
A1,A116,0.0,0.0,0.07
A10,A15,0.08,0.1,0.03
A11,A3,0.88,1.75,0.1
A6,A41,0.13,0.19,0.0
A10,A51,0.08,0.04,0.0
A4,A4,0.21,0.01,0.0
A5,A109,0.13,0.05,0.0
A5,A3,3.28,1.65,0.07
A9,A34,0.0,0.0,0.02
A5,A15,0.03,0.01,0.11
A2,A36,0.0,0.01,0.0
A6,A77,0.03,0.01,0.0
A0,A20,0.09,0.01,0.0
A2,A25,0.12,0.09,0.0
A11,A16,0.02,0.01,0.1
A4,A3,0.19,0.0,0.0
A9,A117,0.03,0.02,0.0
A4,A3,0.09,0.01,0.0
A3,A15,0.42,0.23,0.0
A11,A14,0.32,0.33,0.05
A4,A37,0.24,0.13,0.0
A5,A118,0.05,0.02,0.0
A5,A16,0.07,0.05,0.0
A4,A16,0.94,0.64,0.0
A8,A15,0.0,0.0,1.1
A10,A14,0.03,0.02,0.0
A11,A3,1.56,0.61,0.02
A2,A15,0.12,0.02,0.0
A6,A56,0.14,0.03,0.15
A7,A30,0.34,0.02,0.0
A10,A27,0.2,0.0,0.0
A6,A56,0.0,0.0,0.32
A9,A14,0.18,0.04,0.0
A4,A16,0.0,0.06,0.0
A5,A51,0.06,0.05,0.0
A10,A6,0.2,0.01,0.03
A4,A15,0.68,0.25,0.0
A1,,0.11,0.02,0.1
A1,A120,0.1,0.01,0.01
A4,A24,0.99,0.05,0.0
A6,A25,0.2,0.0,0.0
A10,A27,0.05,0.01,0.0
A3,A3,0.36,0.03,0.0
A11,A16,1.22,0.34,0.04
A4,A0,0.44,0.16,0.0
A5,A3,0.1,0.12,0.0
A6,A27,0.2,0.02,0.0
A6,A36,0.12,0.01,0.0
A2,A16,2.57,1.57,0.44
A6,A61,0.0,0.0,0.04
A2,A24,0.08,0.28,0.0
A11,A27,0.1,0.08,0.0
A6,A56,0.12,0.11,0.34
A3,A27,0.3,0.01,0.0
A1,A7,2.91,1.86,3.14
A1,A3,0.16,0.02,0.0
A4,A16,0.27,0.02,0.0
A1,A51,2.82,1.05,0.13
A10,A3,0.03,0.0,0.0
A1,A14,0.08,0.0,0.0
A6,A33,0.38,0.01,0.0
A6,A87,0.06,0.04,0.0
A6,,0.51,0.35,0.0
A6,A33,0.07,0.03,0.0
A11,A16,0.07,0.05,0.0
A3,A33,0.24,0.01,0.0
A6,A33,0.25,0.2,0.0
A11,A7,0.91,0.74,0.07
A6,A7,0.89,0.22,0.22
A4,A121,0.0,0.0,0.03
A3,A33,0.13,0.0,0.0
A10,A122,0.02,0.0,0.0
A3,A27,1.72,1.21,0.0
A6,A15,0.0,0.0,0.15
A8,A14,0.0,0.0,0.5
A3,A51,0.37,0.25,0.0
A1,A123,0.05,0.0,0.0
A6,A56,0.13,0.1,0.74
A2,A10,0.02,0.01,0.0
A8,A33,0.0,0.06,0.0
A1,A120,0.0,0.0,0.03
A3,A124,0.0,0.0,0.04
A5,A14,0.0,0.0,0.01
A10,,0.5,0.39,0.0
A10,A15,0.0,0.0,0.07
A11,A16,0.0,0.0,0.15
A3,A86,0.0,0.0,0.43
A8,A14,0.0,0.0,0.03
A2,,0.0,0.1,0.0
A1,A125,0.0,0.0,0.07
A4,A3,0.33,0.0,0.0
A4,A111,0.0,0.0,0.02
A0,A7,0.0,0.0,0.17
A3,A41,0.0,0.0,0.02
A3,A126,0.0,0.0,0.09
A6,A56,0.04,0.0,0.0
A3,A127,0.05,0.0,0.0
A11,A13,0.27,0.21,0.0
A3,A15,0.0,0.0,0.03
A4,A10,0.18,0.07,0.0
A1,A14,0.0,0.0,0.1
A2,A64,0.02,0.0,0.0
A4,A14,0.0,0.0,0.01
A11,A90,0.03,0.02,0.0
A11,A15,0.06,0.04,0.01
A11,A34,0.42,0.21,0.08
A1,A61,0.08,0.0,-5.553521692298926
A7,A23,0.13,0.03,0.0
A6,A59,0.13,0.0,0.0
A1,A58,0.07,0.04,1.3
A9,A94,0.0,0.0,0.13
A11,A128,0.06,0.02,0.0
A10,A27,0.35,0.11,0.0
A1,A77,1.52,1.08,0.1
A10,A129,0.26,0.01,0.0
A10,A51,0.08,0.0,0.0
A1,A14,0.0,0.0,0.07
A11,A25,0.01,0.01,0.0
A1,A15,0.0,0.0,0.03
A10,A27,0.0,0.04,0.0
A6,A94,0.0,0.0,0.02
A9,A10,0.49,1.27,0.0
A4,A15,0.0,0.0,0.4
A5,A42,0.0,0.0,0.01
A1,A58,0.15,0.07,0.27
A2,A14,0.06,0.02,0.0
A10,A24,0.07,0.0,0.0
A10,A27,0.21,0.11,0.0
A2,A108,0.43,0.29,0.09
A11,A90,0.04,0.04,0.0
A0,A16,0.32,0.64,0.04
A6,A33,0.31,0.08,0.0
A6,A25,0.32,0.17,0.0
A5,A16,0.0,0.0,0.02
A5,A130,0.0,0.0,0.14
A5,A15,0.01,0.01,0.05
A4,A131,0.14,0.0,0.0
A3,A3,0.06,0.0,0.0
A10,A10,0.03,0.03,0.0
A3,A94,0.03,0.0,0.0
A6,A37,0.24,0.04,0.0
A0,A33,0.09,0.02,0.0
A10,A51,0.05,0.04,0.0
A10,A97,0.02,0.0,0.0
A6,A132,0.05,0.01,0.0
A4,A24,0.01,0.0,-6.070439076454647
A4,,0.0,0.04,0.0
A9,A33,0.61,0.19,0.0
A4,A33,1.25,0.46,0.0
A10,A133,0.05,0.0,0.0
A3,A3,0.11,0.07,0.12
A10,A27,0.73,0.21,0.0
A2,A64,0.18,0.05,0.0
A9,A134,0.01,0.0,0.0
A4,A95,0.0,0.04,0.0
A2,A10,0.23,0.18,0.0
A10,A25,3.42,1.38,0.02
A8,A3,0.0,0.02,0.0
A9,A94,0.0,0.02,0.0
A1,A3,0.09,0.0,0.02
A3,A43,0.06,0.04,0.0
A2,A93,0.01,0.0,0.0
A10,A15,0.09,0.07,0.0
A0,A33,0.09,0.03,0.0
A3,A8,0.0,0.0,0.19
A0,A6,0.18,0.0,0.1
A6,A7,0.0,0.0,0.1
A10,A135,0.08,0.02,0.0
A8,A34,0.0,0.0,0.16
A8,A14,0.0,0.0,0.27
A4,A46,0.06,0.02,0.0
A9,A7,0.56,0.36,0.19
A10,A25,0.18,0.02,0.0
A1,A58,0.63,0.42,0.75
A6,A56,0.0,0.0,0.03
A5,A116,0.0,0.0,0.02
A3,A90,0.0,0.05,0.0
A0,A51,0.5,0.03,0.0
A0,A43,0.0,0.0,0.22
A6,A25,1.7,1.25,0.02
A4,A107,0.06,0.0,0.0
A11,A136,0.06,0.03,0.0
A10,A27,0.79,0.0,0.0
A11,A137,0.04,0.01,0.06
A6,A34,0.17,0.2,0.0
A1,A3,0.03,0.0,0.0
A2,A59,0.0,0.0,0.02
A10,A87,0.32,0.22,0.0
A10,A20,0.1,0.06,0.0
A5,A14,0.0,0.0,0.05
A1,A116,0.0,0.0,0.02
A2,A25,0.09,0.0,0.0
A10,A51,0.39,0.03,0.0
A8,A90,0.0,0.02,0.0
A5,A1,0.03,0.0,0.02
A6,A51,0.0,0.0,0.02
A3,A15,0.0,0.0,0.21
A7,A80,0.01,0.01,0.0
A6,A55,0.0,0.0,0.03
A1,A7,0.26,0.14,0.12
A1,A14,0.0,0.0,0.36
A6,A60,0.33,0.1,0.0
A9,A33,1.11,0.71,0.0
A4,A90,0.03,0.02,0.0
A3,A43,0.0,0.01,0.01
A9,A94,0.0,0.04,0.0
A1,A3,0.0,0.07,0.02
A6,A25,0.14,0.1,0.0
A4,A14,0.0,0.0,0.09
A10,A20,0.0,0.16,0.0
A9,A7,0.0,0.0,0.01
A10,A10,0.11,0.03,0.0
A4,A138,0.06,0.04,0.0
A4,A16,0.33,0.25,0.07
A9,A139,0.0,0.09,0.0
A6,A33,0.11,0.03,0.0
A3,,0.46,0.01,0.0
A2,A13,0.23,0.41,0.01
A6,A44,0.0,0.0,0.1
A10,A15,0.0,0.0,0.23
A2,A59,0.02,0.0,0.0
A10,A3,0.0,0.3,0.0
A10,A27,0.18,0.05,0.0
A6,A87,0.47,0.32,0.0
A2,A140,0.09,0.06,0.0
A10,A141,0.02,0.0,0.0
A4,A26,0.08,0.0,0.16
A4,A16,0.28,0.0,0.02
A6,A37,0.09,0.13,0.0
A0,A16,0.64,0.92,0.01
A10,A27,1.35,0.09,0.0
A0,A25,0.1,0.08,0.0
A10,A15,0.0,0.0,0.09
A2,A59,0.35,0.13,0.0
A6,A16,1.32,0.19,0.0
A6,A58,0.07,0.0,0.0
A4,,0.69,0.17,0.0
A6,A37,0.08,0.07,0.0
A4,A0,0.03,0.0,0.0
,A41,0.0,0.0,0.04
A6,A61,0.0,0.0,0.02
A10,A16,0.15,0.1,0.0
A0,A132,0.02,0.01,0.0
A11,A142,0.85,0.58,0.0
A8,A90,0.0,0.04,0.0
A6,A6,0.0,0.0,0.13
A6,A30,0.16,0.06,0.0
A6,A3,0.14,0.48,0.0
A11,A143,0.05,0.04,0.0
A4,A3,0.48,0.0,0.0
,A61,0.0,0.0,0.02
A10,A51,0.05,0.0,0.0
A10,A51,0.15,0.01,0.0
A4,A3,0.19,0.0,0.0
A1,A7,1.85,1.2,1.54
A4,A51,0.08,0.01,0.0
A5,A70,0.0,0.0,0.02
A7,A16,0.04,0.03,0.0
A6,A16,0.78,0.03,0.2
A6,A27,0.14,0.15,0.0
A8,A51,0.38,0.03,0.02
A1,A144,0.0,0.0,0.19
A9,A0,0.04,0.01,0.0
A9,A0,0.42,0.0,0.0
A1,A44,0.0,0.0,0.02
A2,A33,0.07,0.02,0.0
A1,A14,0.0,0.0,0.16
A0,A16,0.15,0.1,0.0
A2,A34,0.0,0.01,0.0
A8,A145,0.0,0.02,0.0
A7,A14,0.31,0.0,0.0
A2,A13,0.0,0.04,0.0
A3,A120,0.08,0.03,0.03
A1,A14,0.0,0.0,0.04
A6,A14,0.1,0.0,0.0
A1,A54,0.0,0.0,0.89
A6,A135,0.21,0.16,0.0
A11,A13,0.1,0.15,0.01
A2,A27,3.27,2.83,0.08
A11,A20,0.0,0.12,0.0
A8,A25,0.06,0.01,0.0
A10,A15,0.02,0.01,0.0
A6,A51,2.79,2.61,0.17
A1,A141,0.0,0.0,0.17
A5,A42,0.0,0.0,0.03
A6,A14,0.05,0.02,0.08
A2,A6,0.07,0.24,0.0
A6,A3,2.84,0.39,0.03
A0,A33,0.23,0.06,0.0
A1,A7,0.5,0.32,0.49
A10,A64,0.36,0.03,0.0
A6,A16,0.02,0.05,0.04
A6,A146,0.0,0.0,0.05
A10,A3,0.0,0.05,0.0
A4,A147,0.0,0.0,0.03
A5,A139,0.13,0.08,0.0
A1,A14,0.21,0.17,0.0
A4,A148,0.0,0.01,0.0
A10,A59,0.18,0.14,0.0
A10,A54,0.0,0.0,0.05
A2,A33,0.72,0.29,0.0
A6,A25,0.42,0.02,0.02
A4,A14,0.48,0.13,0.0
A4,A27,0.13,0.04,0.0
A9,A24,0.05,0.0,0.0
A6,A3,0.02,0.01,0.0
A1,A44,0.0,0.0,0.13
A3,A149,0.0,0.04,0.0
A10,A27,2.07,0.08,0.0
A11,A3,0.29,0.08,0.0
A4,A53,0.0,0.07,0.0
A0,A14,0.16,0.0,0.0
A8,A0,0.15,0.0,0.0
A2,A16,0.0,0.06,0.0
A6,A94,0.15,0.09,0.0
A10,A15,0.23,0.0,0.04
A5,A14,0.0,0.0,0.05
A4,A33,0.26,0.11,0.0
A2,A34,0.12,0.28,0.0
A11,A33,0.32,0.4,0.04
A5,A41,0.0,0.0,0.02
A10,A16,0.09,0.06,0.0
A1,A14,0.0,0.0,0.04
A6,A150,0.0,0.12,0.0
A6,A53,0.26,0.2,0.07
A3,A7,0.09,0.0,0.0
A4,A120,0.15,0.08,0.0
A4,A16,0.17,0.12,0.0
A5,A151,0.0,0.0,0.03
A1,A16,0.0,0.0,0.39
A11,A27,0.16,0.07,0.0
A4,A138,0.0,0.08,0.0
A5,A53,0.0,0.01,0.0
A6,A56,0.17,0.02,0.02
A10,A41,0.0,0.01,0.0
A6,A33,0.31,0.28,0.0
A4,A94,0.04,0.05,0.0
A6,A15,0.0,0.0,0.09
A1,A41,0.13,0.0,0.0
A10,A3,0.48,0.26,0.0
A2,A13,0.0,0.04,0.0
A6,A32,0.0,0.0,0.03
A10,A34,0.02,0.03,0.0
A10,A16,1.58,0.06,0.0
A3,A15,0.03,0.0,0.0
A1,A28,0.19,0.05,0.0
A10,A27,0.65,0.0,0.0
A1,A58,0.19,0.02,1.36
A4,A7,0.0,0.0,0.06
A11,A32,4.05,1.62,0.07
A11,A152,0.0,0.0,0.04
A7,A92,0.0,0.0,0.28
A10,A27,0.2,0.0,0.0
A9,A7,0.0,0.0,0.62
